pct,month,total_list_size
06Q,2015-08-01 00:00:00+00:00,381905
05W,2015-08-01 00:00:00+00:00,284523
03D,2015-08-01 00:00:00+00:00,143158
10N,2015-08-01 00:00:00+00:00,109069
99G,2015-08-01 00:00:00+00:00,184978
04F,2015-08-01 00:00:00+00:00,281727
04Q,2015-08-01 00:00:00+00:00,131670
07T,2015-08-01 00:00:00+00:00,294947
03R,2015-08-01 00:00:00+00:00,359411
10M,2015-08-01 00:00:00+00:00,117024
02F,2015-08-01 00:00:00+00:00,258937
04X,2015-08-01 00:00:00+00:00,291820
00X,2015-08-01 00:00:00+00:00,178483
04E,2015-08-01 00:00:00+00:00,188991
10H,2015-08-01 00:00:00+00:00,337261
08W,2015-08-01 00:00:00+00:00,297835
08X,2015-08-01 00:00:00+00:00,381648
01M,2015-08-01 00:00:00+00:00,201902
09P,2015-08-01 00:00:00+00:00,185594
06Y,2015-08-01 00:00:00+00:00,232366
06D,2015-08-01 00:00:00+00:00,113817
02V,2015-08-01 00:00:00+00:00,210489
00N,2015-08-01 00:00:00+00:00,155206
10A,2015-08-01 00:00:00+00:00,199792
05J,2015-08-01 00:00:00+00:00,173798
05V,2015-08-01 00:00:00+00:00,145690
00C,2015-08-01 00:00:00+00:00,107123
10Y,2015-08-01 00:00:00+00:00,206947
01V,2015-08-01 00:00:00+00:00,123373
10T,2015-08-01 00:00:00+00:00,151357
12D,2015-08-01 00:00:00+00:00,230256
04H,2015-08-01 00:00:00+00:00,130705
02N,2015-08-01 00:00:00+00:00,157857
02Q,2015-08-01 00:00:00+00:00,114015
05X,2015-08-01 00:00:00+00:00,178536
09C,2015-08-01 00:00:00+00:00,126919
05F,2015-08-01 00:00:00+00:00,183671
02M,2015-08-01 00:00:00+00:00,150742
06V,2015-08-01 00:00:00+00:00,170620
04Y,2015-08-01 00:00:00+00:00,132096
11D,2015-08-01 00:00:00+00:00,159013
08J,2015-08-01 00:00:00+00:00,200442
09F,2015-08-01 00:00:00+00:00,191650
04M,2015-08-01 00:00:00+00:00,94617
10C,2015-08-01 00:00:00+00:00,94406
03V,2015-08-01 00:00:00+00:00,74077
114,2015-08-01 00:00:00+00:00,670
02W,2012-03-01 00:00:00+00:00,118633
03A,2012-03-01 00:00:00+00:00,239089
09A,2012-03-01 00:00:00+00:00,189649
